ingredient,substitutes
crème d'amande,"amaretto, almond liqueur"
crème d'ananas,crème de banane
crème de banane,crème d'ananas
crème de cacao,"chocolate liqueurs, cheri suisse, vandermint, coffee liqueurs, chocolate syrup"
crème de café,coffee liqueurs
crème de cassis,"currant syrup, raspberry liqueur"
crème de ceerise,"cherry liqueurs, kirsch"
crème de chocolat,crème de cacao
crème de cumin,kummel
crème de fraise,"crème de framboise, crème de cassis"
crème de framboise,"crème de fraise, crème de cassis"
crème de griotte,crème de cassis
crème de mandarine,orange liqueur
crème de menthe,"peppermint schnapps, peppermint extract, peppermint oil"
crème de mure,crème de cassis
crème de myrtille,crème de cassis
crème de noix,"walnut liqueur, hazelnut liqueur, amaretto, brandy"
crème de noyaux,almond liqueur
crème de prunelle,"sloe gin, plum brandy"
crème de rose,crème de violette
crème de vanille,vanilla extract
crème de violette,"parfait amour, crème de rose"
crème fraiche,"crema, clabber cream, sour cream, yogurt"
curacao,"cointreau, triple sec, grand marnier, orange juice"
cynar,"byrrh, punt e mes"
dark corn syrup,golden syrup
dark rum,"demerara rum, amber rum, whiskey"
dashi,"reconstituted dashi powder, chicken broth"
dashi powder,dashi
de-alcoholized wine,"wine essence, grape juice, wine"
demerara rum,"dark rum, amber rum, whiskey"
dessert wine,"sparkling wine, liqueur, coffee"
double cream,"heavy cream, crème fraiche"
draft beer,beer
drambuie,"lochan-ora, glayva, benedictine"
dry vermouth,"sweet vermouth, omit, punt e mes, dry sherry, dry white wine, madeira, white grape juice, sake"
dubonnet,"byrrh, punt e mes, lillet"
evaporated milk,"half-and-half, milnot, cream"
falernum,simple syrup
fernet branca,"punt e mes, campari, suze, amer picon, angostura bitters, worcestershire sauce"
fish broth,clam juice
fish stock,clam juice
flavored syrups,"liqueur, fruit syrup"
fortified wine,dessert wine
framboise,"kirsch, raspberry liqueur, framboise syrup"
frangelico,"hazelnut liqueur, walnut liqueur, amaretto, brandy"
french colombard,chenin blanc
fruit brandies,"brandy, fruit-flavored brandy"
fruit juices,"apple juice, orange juice, cranberry juice"
fruit liqueurs,"fruit wines, fruit syrup, extracts"
fruit vinegar,"vinegar, champagne vinegar"
fruit wine,fruit liqueurs
fruit-flavored brandy,"fruit liqueurs, fruit wine"
galliano,"neopolitan liqueur, sambuca"
gamay,"valdiguie, pinot noir, beaujolais, cabernet sauvignon, red burgundy wine, syrah"
gamay beaujolais,"valdiguie, pinot noir, beaujolais, cabernet sauvignon, red burgundy wine, syrah"
gewurztraminer,"johannisberg riesling, chardonnay, french colombard, sauvignon blanc"
gin,"vodka, white rum, whiskey, tequila, brandy"
ginger ale,"ginger beer, soda water, tonic water, champagne"
ginger beer,ginger ale
glayva,"drambuie, lochan-ora"
goat's milk,"milk 3.5%, oat milk, buttermilk, soy milk, rice milk, almond milk, water"
godiva liqueur,"chocolate liqueurs, chocolate syrup"
golden syrup,"maple syrup, dark corn syrup, light corn syrup"
goldwasser,silberwasser
grain alcohol,vodka
gran torres,triple sec
grand marnier,"cointreau, curacao, triple sec, cognac, orange juice"
grape juice,de-alcoholized wine
grapefruit juice,"orange juice, pineapple juice"
grappa,"apple brandy, pear brandy, cognac, armagnac"
green tea,coffee
guavaberry liqueur,raspberry liqueur
half-and-half,evaporated milk
hard cider,"perry, apple cider"
hazelnut liqueur,"walnut liqueur, amaretto, brandy"
heavy cream,"crème fraiche, light cream, evaporated milk, milk 3.5%, cottage cheese, ricotta cheese, silken tofu, coconut milk"
herb vinegar,vinegar
herbal liqueurs,anise-flavored liqueurs
herbsaint,"pernod, ricard, anise-flavored liqueurs"
inda pale ale,"pale ale, porter ale"
instant coffee,"coffee, tea"
irish cream liqueur,"advocaat, coconut rum"
irish mist,"drambuie, glayva"
irish whiskey,"canadian whiskey, scotch whiskey, sherry"
izarra,"chartreuse, strega, benedictine"
jagermeister,"benedictine, fernet branca"
jasmine tea,coffee
joccoque,"buttermilk, sour cream, yogurt, crema"
johannisberg riesling,"white rhine wine, gewurztraminer, chenin blanc, pinot blanc"
kahlua,tia maria
kalamansi juice,"key lime juice, calamondin juice, lemon juice"
kaymak,"clotted cream, crème fraiche"
kefir,"yogurt, kumiss"
key lime juice,"lime juice, passion fruit juice, calamondin juice, rose's lime juice"
khuse syrup,rose syrup
kirsch,"cherry liqueurs, framboise, plum brandy"
kitchen bouquet,"browning, baker's caramel, caramel coloring, soy sauce"
kumiss,"kefir, yogurt"
kummel,aquavit
kumquat liqueur,"orange liqueur, mandarine liqueur"
lager beer,"pilsner beer, light beer"
lamb stock,"beef stock, chicken stock"
lemon juice,"lime juice, key lime juice, malt vinegar"
lemon liqueur,limoncello
licor 43,tuaca
light beer,"lager beer, pilsner beer"
light coconut milk,coconut milk
light corn syrup,"dark corn syrup, golden syrup, honey"
light cream,"evaporated milk, half-and-half"
light whipping cream,"heavy cream, evaporated cream"
lillet,"vermouth, amer picon, port"
lime juice,"key lime juice, lemon juice"
limoncello,lemon liqueur
liqueur,"fruit syrup, bourbon whiskey, rum, marsala, vanilla extract"
lochan-ora,"drambuie, glayva"
low-fat yogurt,"yogurt, silken tofu"
madeira,"port, marsala, dry vermouth, dry sherry, chicken stock, beef stock"
malbec,"merlot, chianti"
malt liquor,beer
malt vinegar,"lemon juice, cider vinegar, white wine vinegar"
mandarin orange juice,orange juice
mandarine liqueur,"orange liqueur, kumquat liqueur, lemon liqueur"
maple syrup,"pancake syrup, berry syrup, brown rice syrup, dark brown sugar, molasses, sugar"
maraschino liqueur,"amaretto, kirsch, cherry liqueurs"
marc,cachaca
marsala,"madeira, sherry"
mastika,"ouzo, metaxa, anise-flavored liqueurs"
matcha,ground green tea
merlot,"cabernet sauvignon, red bordeaux wine"
metaxa,"cognac, armagnac"
mezcal,"tequila, pulque"
midori,"orange liqueur, raspberry liqueur"
milk 0.5% nonfat,"goat's milk, oat milk, soy milk, rice milk, almond milk, water, acidophilis milk"
milk 2% low-fat,"goat's milk, oat milk, acipohilis milk, soy milk, rice milk, almond milk, water"
milk 3.5%,"goat's milk, half-and-half, oat milk, evaporated milk, soy milk, rice milk, almond milk, water"
sweetened condensed milk,milk 3.5%
milnot,evaporated milk
mint syrup,peppermint extract
mint-flavored liqueurs,"peppermint oil, peppermint extract"
mirin,"sherry, white wine"
molasses,"dark corn syrup, maple syrup, honey, barley malt syrup, dark brown sugar, golden syrup"
muscadet,"pinot blanc, chardonnay, chablis, sauvignon blanc"
muscat,"port, riesling"
neopolitan liqueur,galliano
non-dairy topping,whipped cream
nut liqueurs,walnut liqueur
oat milk,"milk 3.5%, goat's milk, soy milk, rice milk, almond milk"
oolong tea,coffee
orange bitters,orange liqueur
orange juice,"grapefruit juice, pineapple juice"
orange liqueur,"kumquat liqueur, mandarine liqueur, sabra liqueur, midori, rum, orange extract"
orgeat,almond extract
ouzo,"pernod, ricard, pastis, anisette, arak, sambuca"
oyster liquor,clam juice
pale ale,india pale ale
palm syrup,simple syrup
palm vinegar,"coconut vinegar, vinegar"
pancake syrup,"maple syrup, berry syrup, brown rice syrup, dark brown sugar, light molasses, sugar"
parfait amour,crème de violette
passion fruit juice,key lime juice
passion fruit liqueur,rum
pastis,"ouzo, anise-flavored liqueurs"
pear brandy,"apple brandy, brandy"
peppermint schnapps,"crème de menthe, peppermint extract, peppermint oil"
pernod,"ricard, herbsaint, anisette"
perry,"hard cider, apple cider"
petite syrah,"syrah, rhone wine"
peychaud's bitters,"angostura bitters, fernet branca"
pilsner beer,"lager beer, light beer"
pineapple juice,"grapefruit juice, orange juice"
pineapple vinegar,cider vinegar
pinot blanc,"chardonnay, muscadet, chablis, sauvignon blanc"
pinot grigio,"gewurztraminer, riesling"
pinot noir,"cabernet sauvignon, syrah"
pisco,grappa
plum brandy,"fruit brandies, grappa, sloe gin"
pomegranate juice,"cranberry juice, pineapple juice"
port,"madeira, dry vermouth, black muscat wine, banyuls, chicken stock, beef stock"
porter ale,stout
poteen,whiskey
pouilly-fuisse,chardonnay
pouilly-fume,sauvignon blanc
powdered milk,milk 3.5%
prostokvasha,"yogurt, kefir"
pu'erh tea,coffee
pulque,"mezcal, tequila"
punt e mes,"byrrh, cynar, vermouth, fernet branca, campari, suze"
qurut,yogurt
raspberry liqueur,"crème de cassis, orange liqueur, raspberry syrup"
raspberry vinegar,"sherry vinegar, champagne vinegar, blueberry vinegar, red wine vinegar, black currant vinegar, rice vinegar, cider vinegar, balsamic vinegar"
raw milk,acidophilis milk
red rice vinegar,"chinese black vinegar, cider vinegar, red wine vinegar"
red wine,"madeira, port, pomegranate molasses, cranberry juice, chicken broth, balsamic vinegar, currant syrup"
red wine vinegar,"balsamic vinegar, white wine vinegar, sherry vinegar, cider vinegar, rice vinegar"
retsina,metaxa
rhine wine,"riesling, gewurztraminer"
rhone wine,"syrah, red bordeaux wine, pinot noir, merlot, barbera, zinfandel, cabernet sauvignon"
ricard,"pernod, anisette"
rice milk,"almond milk, horchata, milk 3.5%, goat's milk, oat milk, soy milk"
rice vinegar,white wine vinegar
rice wine,"dry vermouth, scotch whiskey, dry white wine, dry sherry"
riesling,"johannisberg riesling, gewurztraminer, pinot blanc, chenin blanc"
rioja,"chianti, pinot noir, red burgandy wine"
rock and rye,southern comfort
rum,"brandy, bourbon whiskey, sherry, gin, orange liqueur, orange juice, pineapple juice, vodka"
rye whiskey,"bourbon whiskey, blended whiskey, brandy, scotch whiskey, vanilla extract, sherry"
sabra liqueur,"orange liqueur, cheri suisse"
sake,"shaoxing wine, dry vermouth, white wine, dry sherry"
sambuca,"anisette, ouzo, galliano"
sangiovese,"chianti, zinfandel, cabernet sauvignon, merlot"
sauternes,dessert wine
sauvignon blanc,"chardonnay, pinot blanc, chablis, muscadet, gewurztraminer"
scotch whiskey,"bourbon whiskey, irish whiskey, gin, sherry"
semillon,"sauternes, muscat"
shaoxing wine,"sake, dry sherry"
sherry,"port, madeira, mirin, white whine, dry vermouth, muscat vanilla extract, coffee"
sherry vinegar,"balsamic vinegar, rice vinegar"
silberwaser,goldwasser
sloe gin,plum brandy
smetana,sour cream
soda water,"water, ginger ale"
sorghum molasses,"golden syrup, molasses"
sour cream,"buttermilk, yogurt, jocoque, smetana, sour milk"
sour-mash whiskey,"bourbon whiskey, scotch whiskey, whiskey, sherry"
southern comfort,"rock and rye, kirsch, cointreau"
soy milk,"milk 3.5%, goat's milk, oat milk, rice milk, almond milk"
spanish brandy,"cognac, armagnac"
sparkling cider,"apple cider, apple juice, champagne"
sparkling wine,"sparkling grape juice, chardonnay, chablis"
spumante,sparkling wine
stout,porter ale
strega,"sambuca, chartreuse"
suze,"punt e mes, byrrh, campari, amer picon"
swedish light syrup,golden syrup
sweet vermouth,"dry vermouth, punt e mes, sherry, white wine, maderia, white grape juice, sake"
syrah,"zinfandel, red bordeaux wine, pinot noir, merlot, barbera, cabernet sauvignon"
table wine,"red wine, white wine, blush wine"
tamarind juice,lime juice
tea,coffee
tequila,"mezcal, gin, white rum, vodka"
tia maria,kahlua
tiramisu liqueur,kahlua
tonic water,ginger ale
treacle,molasses
triple sec,"curacao, grand marnier, contreau, orange juice concentrate"
tuaca,licor 43
ultra-pasteurized cream,heavy cream
v8 juice,tomato juice
valdiguie,"gamay beaujolais, pinot noir, red rhone wine"
vandermint,"chocolate liqueurs, chocolate syrup"
vanilla-flavored liqueurs,vanilla extract
veal stock,"chicken stock, chicken broth, beef stock, beef broth"
vegetable bouillon cubes,"vegetable broth, red miso, white miso, yellow miso"
vegetable broth,reconstituted vegetable bouillon cubes
vegetable stock,"chicken stock, beef stock"
verjus,"lemon juice, white wine vinegar"
vermuth,"omit, punt e mes, dry sherry, dry white wine, madeira, white grape juice, sake"
viognier,johannisberg riesling
vodka,"gin, white rum, aquavit, tequila"
vouvray,chenin blanc
walnut liqueur,"frangelico, amaretto, nut liqueurs, brandy"
water,milk 3.5%
wheat beer,"brown ale, lager beer"
whipped cream,"yogurt, marshmallow, non-diary topping"
whiskey,"cognac, sherry, vanilla exract"
white rice vinegar,"champagne vinegar, seasoned rice vinegar, white wine vinegar"
white rum,"gin, vodka, amber rum"
white tea,coffee
white vinegar,"malt vinegar, cider vinegar"
white wine,"dry vermouth, blush wine, sake, sparkling wine, sherry, mirin, white grape juice, apple juice, apple cider, clam juice, water"
white wine vinegar,"red wine vinegar, champagne vinegar, rice vinegar, cider vinegar"
wine,"wine essence, coffee, fruit syrup, vinegar, chicken broth, verjus, lemon juice"
wine vinegar,"cider vinegar, rice vinegar, malt vinegar"
yogurt,"milk 3.5%, low-fat yogurt, sour cream, buttermilk, cottage cheese, silken tofu"
zinfandel,"chianti, syrah, merlot, cabernet sauvignon, rhone wine"
alligator,"turtle, chicken"
alpino salami,salami
american bacon,"pancetta, imitation bacon bits, salt pork, vegetarian bacon"
andouille,kielbasa
andouillette,italian sausage
antelope,venison
ardennes ham,"prosciutto, bayonne ham, westphalian ham"
bacon,"turkey bacon, vegetarian bacon, imitation bacon bits, ham, canadian bacon, pancetta, salt pork, fatback"
imitation bacon bits,"bacon, sushi nori, turkey bacon, vegetarian bacon"
banger,"hot dog, bockwurst"
bauershinken,prosciutto
bauerwurst,bratwurst
bayonne ham,"prosciutto, york ham, ardennes ham, westphalian ham"
bear,"beef, elk, moose"
beef 7-bone pot roast,"beef arm roast, beef blade roast"
beef 7-bone steak,"beef top blade steak, beef under blade steak"
beef arm roast,"beef shoulder roast, beef bottom round, beef cros rib roast"
beef arm steak,"beef 7-bone steak, beef under blade steak, beef shoulder steak"
beef back ribs,pork spareribs
beef blade roast,"beef arm roast, beef cross rib roast, beef brisket"
beef bones,"beef shank, beef short ribs"
beef bottom round,"beef arm roast, beef shoulder roast"
beef bottom round roast,"beef rump roast, beef arm roast, beef shoulder roast"
beef brisket,"beef rump roast, beef bottom round roast"
beef chuck eye,beef top blad pot roast
beef chuck eye steak,"beef top blade steak, beef eye round steak, beef top sirloin steak, beef round tip steak"
beef chuck steak,"beef round steak, beef T-bone steak"
bef club steak,"beef top loin steak, beef rib steak"
beef coulotte steak,beef sirloin steak
beef cross rib roast,"beef arm roast, beef 7-bone pot roast"
beef cube steak,ground beef
beef eye round roast,beef rump roast
beef eye round steak,"beef top blade steak, beef top sirloin steak, beef round tip steak"
beef filet mignon,"beef top sirloin steak, beef porterhouse steak"
beef flank steak,"beef skirt steak, beef top round roast, beef tri-tip roast"
beef hanger steak,"beef skirt steak, beef flank steak"
beef heart,"veal heart, lamb heart, pork heart"
beef jerky,"turkey jerky, dulse"
beef kidney,"pork kidneys, lamb kidneys, veal kidneys"
beef liver,"calf liver, lamb river, pork liver"
beef london broil,"beef flank steak, beef top round steak, beef top blade steak"
beef minute steak,"beef filet mignon, beef cube steak, beef top loin steak"
beef oxtail,"beef shank, beef short ribs"
beef porterhouse steak,"beef t-bone steak, beef club steak, beef rib steak, beef top loin steak"
beef pot roast,"beef cross rib roast, beef shoulder roast, beef rib roast, veal rib roast"
beef rib roast,"beef rib-eye roast, veal rib roast, beef top loin, beef tenderloin roast"
beef rib steak,"beef club steak, beef rib-eye steak"
beef rib-eye roast,"beef tenderloin roast, beef rib roast"
beef rib-eye steak,"beef club steak, beef porterhouse steak, beef t-bone steak"
beef roast beef,"beef tenderloin roast, beef rib-eye roast, beef pot roast, beef top round roast, bef top sirloin butt roast, beef tri-tip roast, bef round tip roast"
beef round steak,beef top round steak
beef round tip roast,"beef tri-tip roast, beef rump roast"
beef round tip steak,"beef top blade steak, beef top sirloin steak, beef eye round steak"
beef rump roast,"beef bottom round roast, beef arm roast, beef shoulder roast"
beef shank,"veal shank, stew beef, beef short ribs"
beef short loin,"beef tenderloin roast, beef top loin, beef sirloin steak"
beef short ribs,beef back ribs
beef shoulder roast,"beef arm roast, beef bottom round, beef cross rib roast"
beef shoulder steak,"beef top blade steak, beef chuck eye steak"
beef sirloin steak,"beef round steak, beef top sirloin steak, beef flank steak, beef t-bone steak, beef top loin steak, beef porterhouse steak"
beef skirt steak,"beef flank steak, beef hanger steak"
beef t-bone steak,"beef porterhouse steak, beef club steak, beef sirloin steak, beef top loin steak, beef rib-eye steak"
beef tenderloin roast,"beef rib-eye roast, beef rib roast, beef top loin, beef top sirloin butt roast"
beef top blade pot roast,"beef 7-bone pot roast, beef under blade pot roast"
beef top blade steak,"beef eye round steak, beef top sirloin steak, beef round tip steak"
beef top loin,"beef tenderloin roast, beef rib-eye roast, beef rib roast, beef top sirloin butt roast, beef tri-tip roast"
beef top loin steak,"beef club steak, beef sirloin steak, beef t-bone steak, beef porterhouse steak"
beef top round roast,"beef round tip roast, beef flank steak"
beef top round steak,"beef flank steak, beef round steak"
beef top sirloin butt roast,"beef rib-eye roast, beef top loin"
beef top sirloin steak,"beef flank steak, beef tri-tip steak"
beef tri-tip roast,beef top loin
beef tri-tip steak,"beef sirloin steak, beef flank steak"
beef under blade pot roast,"beef 7-bone pot roast, beef top blade pot roast"
beef under blade steak,"beef top blade steak, beef arm steak"
bierwurst,"krakauer, bierwurst, jagdwurst, bologna"
bighorn sheep,"antelope, venison, beef"
billtong,beef jerky
black chicken,chicken
black forest ham,"country ham, westphalian ham, prosciutto"
blockwurst,"summer sausage, bierwurst"
blood sausage,"zungenwurst, boudin blanc"
blutwurst,blood sausage
boar,pork
bockwurst,"banger, bratwurst, hot dog, weisswurst"
boerewors,bratwurst
bologna,mortadella
boston butt,"pork arm picnic, pork center loin roast"
boudin blanc,"weisswurst, bratwurst"
boudin rouge,"blood sausage, boudin blanc, blutwurst"
brains,sweetbreads
bratwurst,"weisswurst, boudin blanc, bockwurst"
breakfast sausage patty,chorizo
bresaola,"bunderfleisch, prosciutto"
buffalo,beef
bunderfleisch,"bresaola, prosciutto"
calabrese sausage,"salami, pepperoni"
calf liver,"lamb liver, chicken liver, beef liver, pork liver"
canadian bacon,"irish bacon, ham, pancetta, bacon"
canned ham,"sliced ham, canadian bacon"
capocolla,"prosciutto, bresaola"
carne seca,"beef jerky, turkey jerky"
chaurice,andouille
chicken,"turkey, cornish game hen, tofu"
chicken breast,turkey breast
chicken liver,"calf liver, pork liver"
chinese ham,"country ham, prosciutto, westphalian ham, ardennes ham, serano ham, bayonne ham"
chipolata sausage,andouille
chipped beef,beef jerky
mexican chorizo,"hot italian sausage, mild italian sausage, spicy breakfast sausage patty, spanish chorizo"
spanish chorizo,"kielbasa, pepperoni, linguica, mexican chorizo"
chourico,"spanish chorizo, linguica, italian sausage, pepperoni"
chukar,"pheasant, grouse, cornish game hen, chicken"
city ham,"picnic ham, country ham"
cocktail wieners,"hot dog, vienna sausage"
coppa salami,"krakauer, schinkenwurst, canadian bacon"
corned beef,pastrami
cornish game hen,"pheasant, chukar, quail, squab"
cotechino,breakfast sausage patty
cotto salami,"summer sausage, thuringer"
country ham,prosciutto
csabai,"kielbasa, salami, plockwurst"
culatello,prosciutto
cumberland sausage,italian sausage
denver ribs,"lamb spareribs, pork spareribs"
dove,"pigeon, quail, cornish game hen"
dried meat,dulse
duck,"goose, chicken"
elk,"beef, venison, bear"
emu,"ostrich, rhea, beef, chicken, turkey"
escargot,"periwinkle, green mussel, manila clam"
fatback,"caul fat, bacon, salt pork"
foie gras entier,pate de foie gras
free range chickine,"turkey, pheasant, goose, extra-firm tofu, scallop, shrimp"
fresh pork leg,"pork center loin roast, pork sirloin roast, boston butt"
fresh pork leg steak,"pork blade steak, pork arm steak"
frog,"scallop, chicken breast"
galantina,"mortadella, bologna"
gelbwurst,bologna
goat,"lamb, beef brisket"
goetta,scrapple
goose,"duck, chicken, turkey"
gritzelwurst,"goetta, scrapple"
ground beef,"ground chicken, ground turkey, ground lamb, portobello mushroom, textured soy protein, beyond meat"
ground chicken,"ground turkey, ground veal"
ground lamb,"ground beef, ground turkey, ground pork"
ground pork,"pork arm picnic, boston butt"
ground turkey,"ground chicken, ground veal"
ground veal,"ground turkey, ground chicken, ground lamb"
grouse,"pheasant, pigeon, quail, cornish game hen"
guanciale,pancetta
guinea fowl,"pheasant, cornish game hen, free-range chicken, chicken"
half ham,ham
ham,"canadian bacon, pork"
ham hocks,pickled pork
headcheese,"sulze, zungenwurst"
heart,kidneys
horse,"beef, emu"
hot dog,"vienna sausage, bockwurst, banger"
irish bacon,"canadian bacon, pancetta, bacon"
italian sausage,"toulouse sausage, chourico, mexican chorizo"
jagdwurst,"krakauer, bierwurst"
kangaroo,venison
kassler,black forest ham
kassler rippchen,black forest ham
kidneys,"heart, liver"
kielbasa,"andouille, spanish chorizo, linguica"
knackwurst,hot dog
kolbasz,kielbasa
krakauer,"jagdwurst, bierwurst"
lachsschinken,prosciutto
lamb,"mutton, pork, goat"
lamb blade chop,"lamb loin chop, lamb sirloin chop"
lamb chop,pork chop
lamb cubes for kabobs,"lamb leg, lamb sirloin roast"
lamb heart,"veal heart, pork heart"
lamb kidneys,"veal kidneys, beef kidney, pork kidney"
lamb leg,lamb shoulder
lamb leg chop,"lamb loin chop, lamb shoulder chop"
lamb liver,"calf liver, pork liver, beef liver"
lamb loin chop,"lamb rib chop, lamb sirloin chop, lamb leg chop"
lamb loin roast,lamb leg
lamb neck slices,lamb shank
lamb rib chop,"lamb loin chop, lamb sirloin chop"
lamb shank,"lamb neck slices, veal shank"
lamb shoulder chop,"lamb blade chop, lamb loin chop"
lamb shoulder roast,lamb leg
lamb sirloin chop,"lamb loin chop, pork loin chop"
lamb spareribs,"denver ribs, pork spareribs"
lamb stew meat,lamb shoulder roast
landjager,"pepperoni, salami"
lap cheong,"mexican chorizo, salami, ham"
lebanon bologna,"salami, summer sausage"
leberkase,bologna
linguica,"spanish chorizo, kielbasa, andouille"
liver,kidneys
liverwurst,"pate, teewurst, mettwurst, gelbwurst"
longanisa,kielbasa
loukanika,kielbasa
merguez sausage,italian sausage
mettwurst,"kielbasa, bratwurst, teewurst"
moose,"beef, venison, bear"
morcelas,blood sausage
morcilla,boudin rouge
mortadella,"bologna, olive loaf"
mutton,lamb
nuss schinken,westphalian ham
olive loaf,"mortadella, bologna"
ostrich,"emu, rhea, beef, chicken, turkey"
pancetta,"bacon, prosciutto"
partridge,"grouse, pheasant, quail, cornish game hen, dove"
pastrami,corned beef
pate,"liverwurst, foie gras entier, monkfish liver"
pate de foie gras,foie gras entier
pemmican,beef jerky
pepperoni,"salami, lap cheong, spanish chorizo, canadian bacon"
pheasant,"guinea fowl, cornish game hen, chicken, grouse, chukar, pigeon"
pickled pork,"ham hocks, ham, tasso"
picknic ham,"city ham, boston butt"
pigs feet,smoked ham hock
pigeon,"quail, cornish game hen, grouse"
plockwurst,"cervelat, salami, csabai"
pork arm picnic,boston butt
pork arm steak,pork blade steak
pork back ribs,"pork spareribs, pork country-style ribs"
pork blade roast,"boston butt, pork sirloin roast"
pork blade steak,"pork arm steak, pork loin chop"
pork butterfly chop,"pork tenderloin, pork sirloin cutlet, pork loin chop"
pork center loin roast,"pork tenderloin, pork sirloin roast, fresh pork leg, pork top loin roast, boston butt, rack of lamb"
pork chop,"pork tenderloin, lamb chop, beef top loin steak"
pork country-style ribs,"pork spareribs, pork back ribs"
pork cube steak,"pork cube steak, pork sirloin cutlet"
pork cubes,pork tenderloin
pork heart,"lamb heart, veal heart"
pork kidneys,"beef kidney, lamb kidneys, veal kidneys"
pork liver,"calf liver, lamb liver, beef liver, chicken liver"
pork loin blade chop,"pork loin chop, pork sirloin chop"
pork loin chop,"pork rib chop, pork tenderloin"
pork rib chop,"pork loin chop, pork tenderloin"
pork roast,"pork center loin roast, pork tenderloin, pork top loin roast, fresh pork leg, pork sirloin roast, boston butt"
pork sirloin chop,"pork sirloin cutlet, pork rib chop, pork loin chop, pork blade steak"
pork sirloin cutlet,"pork tenderloin, pork sirloin chop"
pork sirloin roast,"pork top loin roast, pork blade roast, boston butt"
pork spareribs,"pork country-style ribs, pork back ribs"
pork stew meat,pork cubes
pork tenderloin,"pork loin chop, pork chop, pork center loin roast, pork sirloin cutlet, pork top loin chop"
pork top loin chop,"pork rib chop, pork loin chop, pork tenderloin, pork sirloin chop, pork blade steak"
pork top loin roast,"pork sirloin roast, pork center loin roast"
poussin,"cornish game hen, squab"
prosciutto,"culatello, serrano ham, bayonne ham, york ham, ardennes ham, westphalian ham, country ham, black forest ham, bresaola, capocolla, bacon"
quail,"partridge, pigeon, cornish game hen, grouse"
rabbit,chicken
rack of lamb,"lamb leg, pork chop"
rattlesnake,chicken
rauchfleisch,"pastrami, prosciutto, serrano ham"
rhea,"emu, ostrich, beef, chicken, turkey"
ringwurst,bologna
rolled veal roast,lamb loin roast
salami,"lebanon bologna, summer sausage, pepperoni"
salt pork,"bacon, ham, pancetta"
schinkenspeck,"prosciutto, serrano ham"
schinkenwurst,"krakauer, bierwurst, jadgwurst"
scrapple,"goetta, bacon"
serrano ham,"prosciutto, bayonne ham, york ham, ardennes ham, westphalian ham, country ham, black forest ham, capocolla"
sirloin half of leg,lamb leg
sliced ham,"ham, cold cuts"
smoked bratwurst,bratwurst
smoked ham hock,"ham, turkey, salt pork, bacon"
smoked hog jowl,"bacon, smoked ham hock"
smoked pigs foot,"smoke ham hock, bacon, smoked pork neck bones, smoked hog jowl"
smoked pork neck bones,"smoked hog jowl, smoked ham hock, bacon"
soppressata,salami
squab,"pigeon, dove, cornish game hen"
squirrel,rabbit
stew beef,beef chuck steak
sujuk,"pepperoni, salami"
sulze,headcheese
summer sausage,blockwurst
sweetbreads,brains
tasso,"city ham, canadian bacon"
teewurst,"mettwurst, liverwurst"
thuringer,"cotto salami, summer sausage"
tofurkey,unturkey
tongue loaf,zungenwurst
toulouse sausage,"kielbasa, italian sausage"
touristenwurst,salami
turkey,"chicken, goose, pheasant, ostrich, tofurkey, unturkey"
turkey bacon,"bacon, vegetarian bacon"
turkey jerky,beef jerkey
turtle,"alligator, frog, lobster"
tuscan sausage,italian sausage
unturkey,tofurkey
veal arm roast,"veal blade roast, veal rump roast"
veal arm steak,"veal blade steak, veal round steak"
veal blade roast,"veal arm roast, veal breast roast"
veal blade steak,veal arm steak
veal breast roast,"veal blade roast, veal rump roast"
veal cube steak,"beef cube steak, ground veal"
veal cutlet,"pork sirloin cutlet, turkey, chicken breast"
veal heart,"lamb heart, pork heart, beef heart"
veal kidney chop,veal loin chop
veal kidneys,"lamb kidneys, beef kidney, pork kidneys"
veal leg roast,veal shank half of leg
veal loin chop,"veal rib chop, beef porterhousse steak, beef t-bone steak, lamb chop, veal sirloin chop"
veal loin roast,"veal arm roast, beef tenderloin roast"
veal rib chop,"veal loin chop, veal sirloin chop"
veal rib roast,"rack of lamb, beef rib roast"
veal riblets,beef short ribs
veal round steak,"veal cutlet, veal sirloin chop, beef round steak"
veal rump roast,"veal leg roast, veal sirloin roast, veal loin roast"
veal shank,"beef shank, veal arm roast, lamb shank, veal rump roast"
veal shank half of leg,veal leg roast
veal sirloin chop,veal round steak
veal sirloin roast,veal loin roast
veal steak,"veal sirloin chop, veal round steak"
veal stew meat,"lamb stew meat, stew beef"
vegetarian bacon,turkey bacon
venison,"elk, moose, antelope, beef, bear"
vienna sausage,"cocktail wieners, hot dogs"
weisswurst,"bockwurst, bratwurst, boudin blanc"
westphalian ham,"black forest ham, prosciutto, country ham, ardennes ham, bayonne ham"
wunderwurst,liverwurst
york ham,"black forest ham, prosciutto, country ham, ardennes ham, bayonne ham"
zungenwurst,blood sausage
acorn squash,"buttercup squash, butternut squash, banana squash, turban squash, hubbard squash, pumpkin, green papaya, golden nugget squash"
dried aji panca chili,pasilla chili
alfalfa sprouts,"sunflower sprouts, mung bean sprouts, soybean sprouts, fenugreek"
alphonso olives,"kalamata olives, gaeta olives"
american eggplant,"italian eggplant, japanese eggplant"
amphissa olives,"kalamata olives, gaeta olives"
anaheim chili,"new mexico green chili, poblano pepper, green chile canned"
ancho chili,"mulato chili, pasilla chili, poblano pepper, california chili, new mexico red chili"
